Designator,Mid X,Mid Y,Rotation,Layer
C1,99.94,-73.1125,270.0,bottom
C10,85.6525,-73.1125,270.0,bottom
C11,81.84,-61.125,180.0,bottom
C2,103.511875,-73.1125,270.0,bottom
C3,107.08375,-73.1125,270.0,bottom
C4,103.511875,-69.540625,90.0,bottom
C5,99.94,-69.540625,90.0,bottom
C6,89.224375,-73.1125,270.0,bottom
C7,92.79625,-73.1125,270.0,bottom
C8,96.368125,-73.1125,270.0,bottom
C9,99.94,-60.015625,270.0,bottom
D1,70.174375,-87.4,90.0,bottom
D10,70.174375,-61.20625,270.0,bottom
D11,127.324375,-61.20625,270.0,bottom
D12,109.465,-77.875,180.0,bottom
D13,71.365,-77.875,180.0,bottom
D14,71.365,-115.975,0.0,bottom
D15,109.465,-115.975,0.0,bottom
D16,89.224375,-125.5,90.0,bottom
D17,108.274375,-125.5,90.0,bottom
D18,127.324375,-125.5,90.0,bottom
D2,89.224375,-87.4,90.0,bottom
D3,108.274375,-87.4,90.0,bottom
D4,127.324375,-87.4,90.0,bottom
D5,70.174375,-106.45,90.0,bottom
D6,89.224375,-106.45,90.0,bottom
D7,108.274375,-106.45,90.0,bottom
D8,127.324375,-106.45,90.0,bottom
D9,70.174375,-125.5,90.0,bottom
F1,80.89,-58.825,0.0,bottom
J1,90.415,-60.015625,180.0,bottom
R1,99.94,-64.778125,90.0,bottom
R2,88.03375,-65.96875,0.0,bottom
R3,95.1775,-67.159375,270.0,bottom
R4,95.44,-76.15,0.0,bottom
S1,61.84,-87.4,0.0,top
S10,80.89,-125.5,0.0,top
S11,99.94,-125.5,0.0,top
S12,118.99,-125.5,0.0,top
S2,80.84,-87.4,0.0,top
S3,99.92,-87.4,0.0,top
S4,118.92,-87.4,0.0,top
S5,61.84,-106.45,0.0,top
S6,80.89,-106.45,0.0,top
S7,99.94,-106.45,0.0,top
S8,118.99,-106.45,0.0,top
S9,61.84,-125.5,0.0,top
SW1,104.7025,-61.20625,0.0,bottom
SW2,104.7025,-65.96875,0.0,bottom
SW3,61.84,-68.35,0.0,bottom
SW4,118.99,-68.35,0.0,bottom
U1,77.318125,-68.35,90.0,bottom
U2,91.605625,-67.159375,0.0,bottom
U3,76.1275,-59.9625,270.0,bottom
U4,99.94,-76.684375,0.0,bottom
